,DWPC,HGHT,PRES,TMPC,UWND,VWND
2015-03-15 12:00:00,"[-4.135384615384613, -23.461848341232226, -33.72341772151898, -46.32796610169491, -61.99977443609022, nan]","[851.2926153846153, 1550.3300000000002, 3131.770632911392, 5724.972711864407, 10510.979774436091, 16316.034000000001]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[8.404615384615385, 9.780758293838861, -0.35746835443037783, -20.941355932203393, -54.2287969924812, -60.12]","[7.387920199935438, 16.094844544178187, 21.73331500090335, 24.160249479585733, 4.676176224415594, 29.07080688505368]","[-4.397607092173803, -14.10246318832788, -19.751233293644706, -11.074050285533355, -79.61873722444398, -19.339473701523413]"
2015-03-15 15:00:00,"[-5.0270000000000055, -25.20316037735849, -30.26506329113924, -44.05237288135593, -60.05681647940075, nan]","[858.6620000000005, 1557.8967452830186, 3140.145569620253, 5735.616694915254, 10553.967340823969, 16317.382]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[8.479999999999999, 10.091415094339624, -0.5043037974683524, -19.052372881355932, -54.24464419475655, -60.88]","[12.709428388889117, 15.09569315081145, 22.811228784095412, 24.35239282236432, 17.31216104993961, 33.4931909987487]","[-0.1998775317524343, -7.167352928115828, -15.307231380329474, -17.5911660168681, -67.36535250544148, -20.624493029438053]"
2015-03-15 18:00:00,"[-2.276356589147284, -31.717393364928906, -33.75278481012658, -33.486779661016946, -58.298089887640444, nan]","[859.7789922480617, 1560.0909952606632, 3145.3931645569623, 5748.987937853107, 10598.706666666667, 16335.666]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[8.058604651162794, 10.716303317535546, 0.323544303797467, -17.852090395480225, -53.60044943820225, -60.82]","[15.609751408395702, 19.775110641417943, 21.33422147818405, 25.160910464089405, 25.892973585833456, 33.32991565292025]","[5.134401649643243, -0.8286424567805036, -12.760843466085497, -23.768734991876162, -57.1147793384806, -22.83856253290084]"
2015-03-15 21:00:00,"[-0.9116279069767423, -34.02428571428572, -38.37, -31.887223796033993, -57.33830827067669, nan]","[842.8071317829455, 1547.2423809523816, 3138.58, 5749.677535410765, 10629.4134962406, 16346.36]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[10.157829457364343, 12.16380952380952, 1.04, -17.72458923512748, -52.529924812030075, -61.46]","[15.75458968542383, 27.334420902907556, 23.700992467786183, 35.8145934369491, 30.033872869653084, 32.648059747588654]","[10.75695658423181, 0.0549773626180714, -9.326513605948508, -20.567310391304297, -55.75467653888308, -25.577272542589096]"
2015-03-16 00:00:00,"[-1.7940310077519328, -35.058571428571426, -39.966020066889634, -16.13159090909091, -58.91645283018868, nan]","[829.2535658914726, 1537.9011428571425, 3136.0935451505015, 5758.326136363637, 10664.241773584907, 16362.102]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[11.157054263565893, 13.414285714285715, 2.0303010033444817, -14.608863636363635, -51.73924528301887, -61.74]","[28.519439600308317, 32.37980074786691, 33.20761557328195, 34.559700458521895, 14.381224439701887, 29.70155449086499]","[15.306300045501253, 2.34454719919522, -11.143582836908646, -27.61418647660586, -59.92767017611338, -30.47672549382852]"
2015-03-16 03:00:00,"[-2.067209302325583, -29.151848341232228, -41.69480000000001, -23.945738636363636, -56.926, nan]","[830.8793023255814, 1542.69018957346, 3141.4991, 5774.381647727273, 10703.93796226415, 16379.34]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[12.865581395348837, 13.867488151658765, 2.0209999999999977, -12.291818181818183, -50.656226415094345, -62.24]","[38.897803061400445, 41.357425865992376, 41.361389738531194, 33.09923984424986, 19.435422287042602, 26.242939349261928]","[8.669992574509156, -2.8635989658015237, -15.82896374174021, -33.755171608486016, -57.24772312111719, -33.129349983224245]"
2015-03-16 06:00:00,"[1.8410852713178296, -11.975308056872038, -7.6905, -18.9590625, -54.658421052631574, nan]","[823.193488372093, 1534.470426540284, 3132.4545000000003, 5785.206647727272, 10718.577105263157, 16369.684]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[14.088062015503876, 12.331943127962086, 2.7550000000000003, -10.940681818181815, -50.333684210526314, -62.3]","[43.869180324450056, 38.86150289520457, 30.143844400396823, 32.817436954725935, 30.127351716188805, 23.20522819667275]","[-3.0728209794901957, -12.02319872822062, -14.328503786671691, -40.36111228076971, -58.53086608029324, -31.479406734250002]"
2015-03-16 09:00:00,"[-3.513125000000003, -7.598483412322278, -7.542675585284283, -17.714501424501425, -54.957443609022555, nan]","[816.7137500000002, 1529.63298578199, 3129.5479264214046, 5790.8275498575495, 10735.628270676692, 16374.292]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[15.793125, 12.54758293838863, 3.260735785953176, -10.055726495726494, -49.41263157894736, -62.94]","[44.956213321884015, 28.381223680892095, 31.97476295355731, 30.94277636189604, 37.17513163703301, 22.708904910723533]","[-9.432025697444766, -15.197119945389439, -17.80939454512194, -43.01027630567421, -52.224957185310835, -31.23548561741464]"
2015-03-16 12:00:00,"[-2.9442968749999996, -7.062857142857139, -6.285351170568562, -16.69, -53.75646616541353, nan]","[815.349375, 1529.4937142857148, 3134.1610367892977, 5797.74875, 10750.836842105264, 16380.991999999998]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[16.232187500000002, 13.059999999999997, 3.9938461538461536, -10.360000000000001, -48.41263157894736, -64.3]","[39.60900610292873, 27.229189449591683, 22.11259655655223, 28.990546983297534, 47.85625713366937, 19.62423339926386]","[-15.928051192544096, -12.390367353018007, -16.70005993080227, -36.822227127228714, -45.80963175962613, -30.137995279899044]"
2015-03-16 15:00:00,"[-3.8749612403100846, -9.409285714285714, -6.450133779264213, -16.26666666666667, -51.98271698113208, nan]","[814.321162790698, 1532.2305714285712, 3146.215016722407, 5809.49282051282, 10766.40841509434, 16397.672]","[925.0, 850.0, 700.0, 500.0, 250.0, 100.0]","[17.217519379844962, 14.692857142857145, 4.838662207357863, -11.036923076923078, -47.85584905660377, -64.34]","[23.901144988590357, 26.177377451432104, 27.868073559909654, 32.78869840136189, 52.69707328985875, 20.88770436596822]","[-12.90274686279139, -5.4184877295660625, -12.200686766819416, -26.625218277688074, -42.14428880637458, -25.2632580305849]"
