,2017-01-04 12:00:00,2017-01-04 15:00:00,2017-01-04 18:00:00,2017-01-04 21:00:00,2017-01-05 00:00:00,2017-01-05 03:00:00,2017-01-05 06:00:00,2017-01-05 09:00:00,2017-01-05 12:00:00,2017-01-05 15:00:00,2017-01-05 18:00:00,2017-01-05 21:00:00,2017-01-06 00:00:00,2017-01-06 03:00:00,2017-01-06 06:00:00,2017-01-06 09:00:00,2017-01-06 12:00:00,2017-01-06 15:00:00,2017-01-06 18:00:00,2017-01-06 21:00:00,2017-01-07 00:00:00,2017-01-07 03:00:00,2017-01-07 06:00:00,2017-01-07 09:00:00,2017-01-07 12:00:00,2017-01-07 15:00:00,2017-01-07 18:00:00,2017-01-07 21:00:00,2017-01-08 00:00:00,2017-01-08 03:00:00,2017-01-08 06:00:00,2017-01-08 09:00:00,2017-01-08 12:00:00,2017-01-08 15:00:00,2017-01-08 18:00:00,2017-01-08 21:00:00,2017-01-09 00:00:00,2017-01-09 03:00:00,2017-01-09 06:00:00,2017-01-09 09:00:00,2017-01-09 12:00:00,2017-01-09 15:00:00,2017-01-09 18:00:00,2017-01-09 21:00:00,2017-01-10 00:00:00,2017-01-10 03:00:00,2017-01-10 06:00:00,2017-01-10 09:00:00,2017-01-10 12:00:00,2017-01-10 15:00:00,2017-01-10 18:00:00,2017-01-10 21:00:00,2017-01-11 00:00:00,2017-01-11 03:00:00,2017-01-11 06:00:00,2017-01-11 09:00:00,2017-01-11 12:00:00,2017-01-11 15:00:00,2017-01-11 18:00:00,2017-01-11 21:00:00,2017-01-12 00:00:00
DWPC,-18.01,-18.25,-19.32,-20.19,-20.81,-21.94,-20.19,-14.5,-14.23,-14.6,-14.9,-15.84,-16.71,-16.69,-15.7,-17.99,-19.43,-20.27,-20.72,-21.2,-20.39,-20.07,-19.19,-17.74,-16.77,-16.29,-16.29,-15.75,-14.31,-14.99,-18.71,-20.11,-21.86,-22.55,-24.75,-24.99,-23.34,-19.82,-17.81,-16.86,-16.44,-15.69,-14.23,-11.59,-9.95,-10.03,-7.37,-4.94,-2.0,0.14,3.35,5.84,7.36,8.43,4.22,0.23,-1.65,-1.75,-0.74,0.69,-0.4
HCLD,0.0,0.0,0.0,0.0,0.0,33.0,93.0,100.0,66.0,89.0,73.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-9999.0,38.0,86.0,100.0,98.0,89.0,77.0,97.0,101.0,100.0,100.0,100.0,100.0,95.0,99.0,100.0,100.0,100.0,100.0,35.0,1.0,19.0,53.0
LCLD,1.0,0.0,0.0,0.0,0.0,0.0,48.0,96.0,90.0,99.0,93.0,76.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,50.0,69.0,33.0,2.0,28.0,37.0,99.0,99.0,99.0,97.0,101.0,100.0,100.0,15.0,1.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,8.0,79.0,99.0,100.0,84.0,53.0,97.0,94.0,90.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,34.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,97.0,97.0,98.0,90.0,85.0,93.0,83.0,99.0,99.0,95.0,99.0,95.0,87.0,67.0,0.0,98.0,97.0,79.0,11.0,-9999.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.32,0.29,0.13,0.23,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12,0.52,0.65,1.2,1.09,0.64,1.01,1.12,2.51,0.25,0.0,0.0,0.0,0.0,0.0
PRES,992.2,993.4,992.5,991.7,991.1,991.5,991.8,991.7,990.9,991.9,990.8,990.2,991.1,992.3,992.5,993.9,995.1,997.6,998.5,998.5,1000.7,1002.2,1003.6,1004.3,1005.3,1007.1,1006.9,1006.1,1007.5,1008.8,1010.1,1011.9,1013.6,1015.8,1015.1,1013.2,1012.3,1011.1,1009.2,1006.9,1004.2,1002.1,998.6,995.9,996.4,996.1,994.2,992.7,990.1,987.4,984.3,981.4,981.6,981.3,983.7,986.9,989.6,993.3,994.5,994.7,995.2
TMPC,-8.96,-8.36,-5.66,-4.96,-6.76,-7.16,-7.86,-9.26,-9.96,-9.46,-7.76,-7.66,-9.06,-9.96,-10.46,-11.26,-12.26,-12.06,-9.86,-9.16,-10.56,-10.96,-11.16,-11.36,-11.56,-9.86,-5.76,-4.76,-7.16,-7.96,-9.86,-11.96,-13.06,-12.76,-9.66,-8.16,-9.76,-10.56,-10.26,-9.36,-8.76,-7.36,-4.16,-1.56,-3.16,-1.96,-1.86,-2.16,-1.06,1.04,4.14,6.74,8.34,9.24,5.04,2.14,0.04,1.14,4.24,4.84,1.54
UWND,6.3,6.3,6.3,6.4,4.5,4.1,3.9,3.4,2.6,2.7,2.5,3.0,2.2,2.0,2.3,2.8,3.2,3.7,4.0,3.5,2.0,1.8,2.2,2.4,2.4,3.1,3.9,4.6,3.4,3.0,2.6,2.0,1.1,0.1,-0.4,0.0,-0.6,-0.6,-0.6,-0.1,0.4,1.1,2.8,2.9,0.2,1.7,1.1,-0.7,-1.3,-1.4,0.7,1.9,3.3,5.0,6.4,4.8,3.5,4.0,3.9,2.0,0.1
VWND,-3.3,-3.2,-2.5,-2.2,-2.4,-2.8,-1.8,-2.1,-1.6,-2.2,-3.2,-2.5,-1.9,-0.7,-0.9,-2.0,-2.3,-2.7,-2.0,-2.0,-0.6,-0.2,0.7,0.8,0.9,1.1,1.0,0.2,0.0,-2.6,-4.8,-5.3,-4.7,-3.6,-1.8,0.2,2.0,3.5,5.4,6.4,7.2,7.8,7.2,6.0,4.0,4.9,5.3,4.9,5.9,7.8,8.9,9.3,8.8,6.5,-1.2,-2.2,-0.8,-1.0,0.0,1.9,3.1
WSPD,7.111961754677819,7.066116330771806,6.777905281132217,6.767569726275453,5.1,4.964876634922564,4.295346318982906,3.996248240537617,3.0528675044947495,3.4828149534536,4.060788100849391,3.905124837953327,2.906888370749727,2.118962010041709,2.4698178070456938,3.4409301068170506,3.9408120990476063,4.580392996239516,4.47213595499958,4.031128874149275,2.08806130178211,1.8110770276274835,2.3086792761230392,2.5298221281347035,2.563201123595259,3.2893768406797057,4.026164427839479,4.604345773288535,3.4,3.9698866482558417,5.458937625582473,5.664803615307419,4.8270073544588685,3.6013886210738213,1.8439088914585775,0.2,2.08806130178211,3.5510561809129406,5.43323108288245,6.400781202322104,7.211102550927978,7.877182237323192,7.725283166331186,6.664082832618454,4.004996878900157,5.186520991955977,5.412947441089743,4.949747468305833,6.041522986797286,7.92464510246358,8.927485648266257,9.49210198006743,9.398404119849285,8.200609733428363,6.511528238439883,5.280151512977634,3.5902646142032486,4.123105625617661,3.9,2.758622844826744,3.1016124838541645
