,2017-12-31 06:00:00,2017-12-31 09:00:00,2017-12-31 12:00:00,2017-12-31 15:00:00,2017-12-31 18:00:00,2017-12-31 21:00:00,2018-01-01 00:00:00,2018-01-01 03:00:00,2018-01-01 06:00:00
DWPC,-22.5,-21.13,-21.28,-22.29,-19.16,-18.22,-21.09,-22.44,-25.24
HCLD,31.0,52.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,1.0,83.0,92.0,39.0,40.0,92.0,81.0,37.0,19.0
MCLD,34.0,100.0,100.0,50.0,25.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.22999999999999998,0.0,0.01,0.03,0.07,0.0,0.0
PRES,1003.9,1004.1,1005.3,1006.3,1006.6,1006.6,1008.1,1009.4,1010.3
TMPC,-19.16,-18.16,-18.56,-19.36,-16.46,-15.56,-18.56,-19.76,-21.96
UWND,0.8,1.8,2.0,1.9,2.8,3.0,2.9,3.0,3.0
VWND,-2.3,-2.3,-2.9,-2.4,-2.4,-3.0,-2.4,-3.3,-3.1
WSPD,2.435159132377184,2.9206163733020465,3.5227829907617076,3.0610455730027932,3.6878177829171546,4.242640687119285,3.7643060449437424,4.459820624195552,4.313930922024598
