,2019-12-25 12:00:00,2019-12-25 15:00:00,2019-12-25 18:00:00,2019-12-25 21:00:00,2019-12-26 00:00:00,2019-12-26 03:00:00,2019-12-26 06:00:00,2019-12-26 09:00:00,2019-12-26 12:00:00,2019-12-26 15:00:00,2019-12-26 18:00:00,2019-12-26 21:00:00,2019-12-27 00:00:00,2019-12-27 03:00:00,2019-12-27 06:00:00,2019-12-27 09:00:00,2019-12-27 12:00:00,2019-12-27 15:00:00,2019-12-27 18:00:00,2019-12-27 21:00:00,2019-12-28 00:00:00,2019-12-28 03:00:00,2019-12-28 06:00:00,2019-12-28 09:00:00,2019-12-28 12:00:00,2019-12-28 15:00:00,2019-12-28 18:00:00,2019-12-28 21:00:00,2019-12-29 00:00:00,2019-12-29 03:00:00,2019-12-29 06:00:00,2019-12-29 09:00:00,2019-12-29 12:00:00,2019-12-29 15:00:00,2019-12-29 18:00:00,2019-12-29 21:00:00,2019-12-30 00:00:00,2019-12-30 03:00:00,2019-12-30 06:00:00,2019-12-30 09:00:00,2019-12-30 12:00:00,2019-12-30 15:00:00,2019-12-30 18:00:00,2019-12-30 21:00:00,2019-12-31 00:00:00,2019-12-31 03:00:00,2019-12-31 06:00:00,2019-12-31 09:00:00,2019-12-31 12:00:00,2019-12-31 15:00:00,2019-12-31 18:00:00,2019-12-31 21:00:00,2020-01-01 00:00:00
DWPC,4.2,5.27,7.05,8.55,8.63,9.15,9.59,10.54,10.84,11.12,10.89,11.71,11.73,11.79,9.41,6.61,1.95,0.26,0.14,-0.08,0.6,1.71,1.5,1.89,6.67,10.25,11.7,11.98,12.19,12.81,13.7,11.8,4.38,1.4,0.38,-0.6,-2.74,-4.53,-5.48,-6.34,-7.47,-7.61,-8.07,-8.66,-9.01,-8.86,-9.04,-9.22,-10.37,-11.54,-10.92,-10.48,-10.33
HCLD,100.0,67.0,33.0,24.0,37.0,29.0,29.0,100.0,98.0,89.0,75.0,95.0,93.0,84.0,92.0,93.0,97.0,100.0,100.0,32.0,16.0,37.0,19.0,5.0,53.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,0.0,0.0,0.0,0.0,0.0,0.0,7.0,72.0,86.0,100.0,100.0,100.0,100.0,100.0,83.0,10.0,5.0,0.0,0.0,0.0,8.0,85.0,43.0,0.0,40.0,99.0,100.0,100.0,100.0,100.0,100.0,67.0,35.0,0.0,34.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,93.0,0.0,0.0,0.0,0.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,11.0,34.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,100.0,83.0,67.0,42.0,53.0,27.0,55.0,72.0,100.0,100.0,100.0,100.0,100.0,100.0,33.0,29.0,43.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.16999999999999998,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.09,0.01,2.35,0.35,1.56,9.309999999999999,10.270000000000001,0.0,0.01,0.2,0.11,0.2,0.22,0.26,0.08,0.07,0.05,0.03,0.01,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0
PRES,987.4,987.7,986.3,984.9,986.2,986.4,987.0,987.0,987.8,988.2,988.3,987.6,989.0,989.8,990.6,992.3,994.1,996.2,995.5,994.3,995.7,995.0,993.6,992.0,989.8,988.0,984.7,981.5,979.8,975.8,973.5,972.6,971.1,971.0,970.2,970.2,971.8,973.0,974.4,975.8,977.5,980.3,981.8,983.4,985.8,987.4,988.8,990.0,991.5,993.6,994.1,993.7,994.7
TMPC,5.64,7.74,12.14,13.34,10.34,10.64,10.54,11.34,11.54,12.24,14.34,14.84,13.64,12.94,10.94,7.64,4.74,4.54,7.34,8.64,6.44,6.44,5.14,4.64,7.74,10.84,13.24,13.74,14.04,14.14,14.84,13.04,11.84,8.44,5.84,3.54,0.74,-0.66,-2.16,-3.16,-3.46,-3.36,-1.86,-1.76,-3.26,-3.86,-4.56,-5.16,-5.56,-5.56,-3.36,-2.56,-3.96
UWND,1.4,2.6,1.5,0.7,-0.5,0.6,2.0,2.8,2.7,2.8,3.0,1.9,1.6,2.0,2.6,3.2,2.9,2.7,2.5,0.5,1.2,-1.2,-2.2,-1.9,-3.3,-3.4,-2.2,-1.1,-1.7,-2.2,2.5,2.2,3.6,5.2,6.2,7.4,9.5,9.8,9.5,9.4,9.0,9.0,9.6,8.9,7.5,7.4,6.9,6.0,6.1,5.9,5.7,5.2,4.0
VWND,4.4,4.4,4.5,5.1,4.4,5.6,5.0,5.3,5.2,5.4,5.3,4.0,3.8,2.8,0.5,-1.6,-1.6,-1.5,-1.5,-1.2,0.1,0.0,2.4,2.2,3.4,7.6,8.2,8.7,9.5,10.6,9.7,3.6,6.8,8.1,7.6,7.7,5.6,3.5,2.7,1.8,0.5,0.1,-0.3,-1.5,-1.5,-2.4,-2.5,-2.2,-2.1,-2.6,-2.0,-1.8,-1.3
WSPD,4.6173585522460785,5.110772935672255,4.743416490252569,5.1478150704934995,4.428317965096906,5.632051136131489,5.385164807134504,5.994163828258284,5.8591808301161015,6.082762530298219,6.090155991434045,4.428317965096905,4.123105625617661,3.4409301068170506,2.6476404589747453,3.577708763999664,3.312099032335839,3.0886890422961004,2.9154759474226504,1.3,1.2041594578792296,1.2,3.2557641192199416,2.906888370749727,4.738143096192853,8.325863318599458,8.48999411071645,8.7692645073575,9.65090669315583,10.825894882179487,10.016985574512923,4.219004621945797,7.694153624668537,9.625487000666512,9.808159868191384,10.679419459877021,11.027692415006868,10.406248123122955,9.876234100101112,9.57078889120432,9.013878188659973,9.000555538409838,9.604686356149273,9.025519375637062,7.648529270389178,7.77946013551069,7.338937252763509,6.390618123468183,6.4513564465157245,6.447480127925948,6.040695324215583,5.502726596879042,4.205948168962618
