,2019-12-26 12:00:00,2019-12-26 15:00:00,2019-12-26 18:00:00,2019-12-26 21:00:00,2019-12-27 00:00:00,2019-12-27 03:00:00,2019-12-27 06:00:00,2019-12-27 09:00:00,2019-12-27 12:00:00,2019-12-27 15:00:00,2019-12-27 18:00:00,2019-12-27 21:00:00,2019-12-28 00:00:00,2019-12-28 03:00:00,2019-12-28 06:00:00,2019-12-28 09:00:00,2019-12-28 12:00:00,2019-12-28 15:00:00,2019-12-28 18:00:00,2019-12-28 21:00:00,2019-12-29 00:00:00,2019-12-29 03:00:00,2019-12-29 06:00:00,2019-12-29 09:00:00,2019-12-29 12:00:00,2019-12-29 15:00:00,2019-12-29 18:00:00,2019-12-29 21:00:00,2019-12-30 00:00:00,2019-12-30 03:00:00,2019-12-30 06:00:00,2019-12-30 09:00:00,2019-12-30 12:00:00,2019-12-30 15:00:00,2019-12-30 18:00:00,2019-12-30 21:00:00,2019-12-31 00:00:00,2019-12-31 03:00:00,2019-12-31 06:00:00,2019-12-31 09:00:00,2019-12-31 12:00:00,2019-12-31 15:00:00,2019-12-31 18:00:00,2019-12-31 21:00:00,2020-01-01 00:00:00
DWPC,10.49,11.66,12.18,11.6,11.64,11.46,10.79,3.07,0.96,0.3,0.22,0.45,0.97,1.03,1.08,2.55,5.6,9.55,11.07,11.26,11.83,12.07,12.91,14.34,10.22,8.28,5.99,5.23,5.45,6.43,1.94,-2.85,-4.83,-5.25,-4.95,-5.54,-5.92,-5.2,-5.2,-6.37,-7.83,-7.8,-7.39,-6.99,-6.54
HCLD,100.0,95.0,83.0,100.0,90.0,67.0,82.0,100.0,100.0,100.0,100.0,33.0,17.0,0.0,0.0,49.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,0.0,0.0,0.0,50.0,100.0,67.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,58.0,40.0
LCLD,34.0,37.0,58.0,100.0,100.0,85.0,93.0,90.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,73.0,93.0,95.0,99.0,100.0,84.0,92.0,100.0,86.0,0.0,0.0,0.0,0.0,0.0,50.0,93.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0
MCLD,5.0,25.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,63.0,26.0,59.0,100.0,67.0,0.0,0.0,0.0,50.0,100.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.3,0.18,1.6900000000000002,2.0500000000000003,25.89,0.56,0.0,0.0,0.0,0.0,0.13,1.08,0.01,0.04,0.06,0.1,0.12,0.02,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.0
PRES,988.1,988.6,988.8,988.3,989.9,990.2,991.2,992.8,995.0,996.5,996.0,994.7,995.6,995.2,994.3,993.2,992.1,990.7,987.8,985.0,983.3,980.6,977.0,974.9,976.3,976.5,975.6,973.3,971.7,970.6,971.8,973.0,975.0,976.8,977.2,977.6,979.2,979.9,980.4,980.9,981.9,983.5,983.9,983.9,985.0
TMPC,11.54,12.74,14.94,14.74,13.34,12.74,11.84,7.54,4.54,4.64,7.24,8.84,6.34,5.14,4.34,5.74,7.04,10.14,13.34,12.54,13.24,13.74,14.14,14.94,12.64,12.44,15.44,14.64,11.84,10.64,6.44,2.24,-0.46,-0.66,-0.16,-0.36,-1.06,-1.36,-1.86,-2.66,-3.26,-3.26,-1.76,-0.86,-1.66
UWND,2.8,2.9,3.7,2.9,1.5,1.9,2.7,2.8,2.0,1.2,1.1,-0.2,-1.3,-2.7,-2.6,-3.3,-3.6,-3.7,-3.1,-3.1,-3.1,-2.9,-3.7,3.6,3.8,2.0,3.1,2.6,-0.3,1.3,7.7,9.1,8.5,7.9,8.3,9.0,8.2,8.4,8.3,8.1,8.9,8.3,8.3,7.9,5.7
VWND,4.5,4.3,4.5,3.1,2.9,1.3,0.3,-2.4,-1.8,-1.4,-1.5,-0.9,-0.1,-0.2,0.6,-0.2,1.5,4.0,5.8,5.3,6.3,7.7,9.1,4.0,3.6,5.4,7.0,5.0,3.6,4.0,1.2,2.4,2.2,2.2,1.9,1.9,1.5,0.9,-0.5,0.3,-1.0,-0.7,-1.4,-1.1,-1.1
WSPD,5.3,5.186520991955976,5.825804665451804,4.244997055358225,3.2649655434629015,2.3021728866442674,2.716615541441225,3.6878177829171546,2.6907248094147422,1.8439088914585773,1.8601075237738274,0.9219544457292888,1.3038404810405297,2.7073972741361767,2.668332812825267,3.3060550509633075,3.9,5.448853090330111,6.576473218982953,6.1400325732035,7.021395872616783,8.228000972289685,9.82344135219425,5.3814496188294845,5.2345009313209605,5.758472019555188,7.6557168181692825,5.635601121442148,3.6124783736376886,4.205948168962618,7.792945527847606,9.411163583744573,8.780091115700339,8.200609733428363,8.514693182963201,9.198369420718,8.336066218546971,8.448076704197234,8.315046602394963,8.105553651663778,8.95600357302296,8.32946576918352,8.417244204607586,7.976214641043708,5.805170109479997
