,2019-12-27 12:00:00,2019-12-27 15:00:00,2019-12-27 18:00:00,2019-12-27 21:00:00,2019-12-28 00:00:00,2019-12-28 03:00:00,2019-12-28 06:00:00,2019-12-28 09:00:00,2019-12-28 12:00:00,2019-12-28 15:00:00,2019-12-28 18:00:00,2019-12-28 21:00:00,2019-12-29 00:00:00,2019-12-29 03:00:00,2019-12-29 06:00:00,2019-12-29 09:00:00,2019-12-29 12:00:00,2019-12-29 15:00:00,2019-12-29 18:00:00,2019-12-29 21:00:00,2019-12-30 00:00:00,2019-12-30 03:00:00,2019-12-30 06:00:00,2019-12-30 09:00:00,2019-12-30 12:00:00,2019-12-30 15:00:00,2019-12-30 18:00:00,2019-12-30 21:00:00,2019-12-31 00:00:00,2019-12-31 03:00:00,2019-12-31 06:00:00,2019-12-31 09:00:00,2019-12-31 12:00:00,2019-12-31 15:00:00,2019-12-31 18:00:00,2019-12-31 21:00:00,2020-01-01 00:00:00
DWPC,0.43,0.41,0.09,0.35,0.55,0.47,0.94,1.18,3.09,6.61,9.64,11.27,11.14,11.61,12.5,13.72,14.12,11.23,8.27,7.06,9.89,7.95,4.52,2.74,-1.06,-4.35,-3.8,-3.84,-4.4,-3.71,-4.06,-4.7,-5.46,-6.27,-6.32,-5.63,-4.97
HCLD,100.0,100.0,100.0,23.0,11.0,0.0,3.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,43.0,53.0,69.0,63.0,76.0,95.0,98.0,100.0,98.0,35.0,18.0,0.0,2.0,23.0,61.0,33.0,62.0,89.0,95.0,100.0,100.0,94.0,95.0,100.0,100.0,99.0,100.0,100.0,78.0
MCLD,0.0,0.0,0.0,29.0,15.0,0.0,17.0,57.0,29.0,2.0,2.0,3.0,13.0,70.0,83.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,95.0,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,14.0
PRCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.0,0.0,0.45,0.53,1.54,7.299999999999999,13.52,0.01,0.0,0.0,0.0,0.0,3.37,0.1,0.05,0.05,0.04,0.18,0.060000000000000005,0.0,0.0,0.02,0.02,0.01,0.02,0.01,0.0
PRES,996.1,997.2,996.9,995.0,997.2,996.6,996.0,994.2,993.8,992.1,989.9,987.1,986.3,983.5,980.3,977.0,976.4,977.7,975.9,974.7,973.0,972.3,971.5,971.7,974.0,976.0,976.3,976.7,978.8,979.4,980.4,981.6,982.9,984.6,984.8,985.6,986.8
TMPC,2.74,2.84,5.54,7.54,4.94,4.04,3.94,3.64,5.24,8.34,10.94,13.84,12.44,13.14,13.84,14.74,15.94,13.54,14.84,13.84,12.64,9.44,8.24,6.04,2.84,1.54,1.94,1.14,-0.26,-0.06,-0.66,-1.46,-2.06,-2.36,-1.26,-0.26,-0.96
UWND,2.3,2.0,1.2,-0.4,-0.4,-2.1,-2.3,-3.5,-3.4,-3.9,-3.3,-2.3,-2.9,-4.2,-2.9,-2.3,1.5,1.5,1.7,0.8,-0.7,0.0,1.5,6.3,7.6,8.5,7.9,8.7,8.4,8.5,9.5,9.1,8.2,8.3,8.2,7.4,5.2
VWND,-1.1,-1.3,-1.8,-1.6,-0.2,0.0,-0.2,0.1,2.2,4.5,4.6,4.5,5.0,6.6,7.7,10.5,5.9,3.9,4.8,4.3,5.5,5.3,4.5,3.0,3.8,3.2,4.1,3.8,2.7,1.9,0.5,0.8,0.1,-0.3,-1.7,-1.2,-1.0
WSPD,2.5495097567963922,2.3853720883753127,2.1633307652783933,1.6492422502470645,0.447213595499958,2.1,2.308679276123039,3.5014282800023193,4.049691346263317,5.954829972383762,5.661271941887264,5.053711507397311,5.78013840664737,7.8230428862431785,8.228000972289685,10.748953437428222,6.087692502089769,4.178516483155236,5.0921508225896055,4.3737855457258075,5.544366510251645,5.3,4.743416490252569,6.977822009767804,8.497058314499201,9.082400563727631,8.900561780022652,9.493682109698005,8.823264701911645,8.70976463516667,9.513148795220223,9.135097153287424,8.200609733428363,8.305419917138448,8.374365647617735,7.496665925596525,5.295280917949491
