,2019-12-28 12:00:00,2019-12-28 15:00:00,2019-12-28 18:00:00,2019-12-28 21:00:00,2019-12-29 00:00:00,2019-12-29 03:00:00,2019-12-29 06:00:00,2019-12-29 09:00:00,2019-12-29 12:00:00,2019-12-29 15:00:00,2019-12-29 18:00:00,2019-12-29 21:00:00,2019-12-30 00:00:00,2019-12-30 03:00:00,2019-12-30 06:00:00,2019-12-30 09:00:00,2019-12-30 12:00:00,2019-12-30 15:00:00,2019-12-30 18:00:00,2019-12-30 21:00:00,2019-12-31 00:00:00,2019-12-31 03:00:00,2019-12-31 06:00:00,2019-12-31 09:00:00,2019-12-31 12:00:00,2019-12-31 15:00:00,2019-12-31 18:00:00,2019-12-31 21:00:00,2020-01-01 00:00:00
DWPC,-0.27,3.67,8.25,9.76,10.69,11.21,12.83,14.14,14.23,13.86,9.45,9.36,9.48,8.28,6.04,3.91,1.14,-2.28,-4.21,-4.29,-3.64,-4.5,-4.88,-3.98,-4.33,-4.49,-4.71,-4.48,-4.88
HCLD,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,97.0,100.0,100.0,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,11.0,0.0,0.0
LCLD,100.0,54.0,36.0,70.0,81.0,100.0,100.0,100.0,100.0,0.0,2.0,0.0,1.0,22.0,47.0,100.0,98.0,97.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.0,61.0
MCLD,0.0,0.0,0.0,35.0,47.0,100.0,100.0,100.0,99.0,81.0,90.0,100.0,100.0,80.0,88.0,68.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,6.0,0.0,0.0
PRCP,0.0,0.0,0.0,0.0,0.19,1.5699999999999998,1.1,9.7,0.77,0.04,0.0,0.0,0.11,0.18,0.78,0.97,0.07,0.07,0.04,0.05,0.07,0.08,0.02,0.02,0.02,0.05,0.03,0.01,0.0
PRES,993.9,992.6,989.9,986.9,985.9,982.7,979.1,976.8,977.2,976.6,976.2,974.4,973.5,972.3,971.1,971.4,973.2,975.3,976.3,976.5,978.0,978.6,978.5,979.1,980.8,982.9,983.9,983.8,985.5
TMPC,2.64,5.94,11.24,11.64,11.54,12.14,14.04,15.34,15.64,14.64,15.44,14.54,12.44,10.44,9.34,7.44,3.74,2.04,1.64,1.34,-0.26,-0.66,-1.16,-1.16,-1.26,-1.36,-0.56,0.44,-1.46
UWND,-2.3,-4.5,-3.9,-3.0,-3.8,-5.3,-3.7,-1.3,3.0,1.2,2.7,1.1,-1.0,1.7,4.2,6.8,8.1,7.5,7.9,8.0,7.8,8.2,8.1,8.5,8.4,8.8,7.7,7.4,6.1
VWND,1.0,2.8,4.4,4.2,4.4,5.1,7.9,8.7,4.8,3.9,4.5,4.4,5.0,5.4,6.4,2.3,3.1,4.7,3.8,4.0,3.2,2.0,2.3,0.9,-0.5,-0.9,-1.2,0.3,0.4
WSPD,2.5079872407968904,5.3,5.87962583843564,5.1613951602255765,5.813776741499454,7.355270219373317,8.723531395025756,8.796590248499697,5.660388679233963,4.080441152620633,5.24785670536077,4.535416188179427,5.0990195135927845,5.661271941887265,7.655063683601855,7.178439941937245,8.672946442818612,8.850988645343525,8.766413177577247,8.94427190999916,8.430895563343197,8.440379138403676,8.420213774008355,8.54751425854324,8.414867794564572,8.845903006477068,7.792945527847606,7.40607858451421,6.113100686231169
