,2019-12-29 12:00:00,2019-12-29 15:00:00,2019-12-29 18:00:00,2019-12-29 21:00:00,2019-12-30 00:00:00,2019-12-30 03:00:00,2019-12-30 06:00:00,2019-12-30 09:00:00,2019-12-30 12:00:00,2019-12-30 15:00:00,2019-12-30 18:00:00,2019-12-30 21:00:00,2019-12-31 00:00:00,2019-12-31 03:00:00,2019-12-31 06:00:00,2019-12-31 09:00:00,2019-12-31 12:00:00,2019-12-31 15:00:00,2019-12-31 18:00:00,2019-12-31 21:00:00,2020-01-01 00:00:00
DWPC,14.43,9.99,9.82,8.34,8.99,7.14,5.33,-1.66,-3.18,-3.82,-4.87,-4.39,-4.37,-4.46,-5.67,-5.72,-5.85,-5.67,-5.3,-5.25,-5.53
HCLD,100.0,100.0,100.0,100.0,100.0,67.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCLD,91.0,48.0,24.0,0.0,41.0,100.0,100.0,100.0,79.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,97.0,100.0,100.0,100.0,83.0
MCLD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRCP,0.0,0.43,0.0,0.0,0.41,3.9800000000000004,4.75,2.08,0.06999999999999999,0.08,0.12000000000000001,0.07,0.04,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0
PRES,976.3,977.0,977.1,975.2,974.4,973.0,970.1,971.6,973.4,974.7,976.1,976.4,977.8,978.2,978.8,979.2,980.9,982.4,983.8,983.9,985.3
TMPC,14.74,13.14,13.84,13.84,11.54,8.94,7.24,3.44,1.74,0.34,0.34,0.04,-0.36,-1.26,-1.66,-1.96,-2.16,-1.86,-0.26,0.04,-1.06
UWND,-4.3,2.4,3.5,2.2,0.1,0.9,11.1,8.0,7.7,7.5,8.0,8.7,8.5,8.9,8.6,8.7,8.5,7.9,8.0,7.1,5.6
VWND,6.3,5.9,4.1,4.8,4.7,3.9,0.5,2.3,3.0,3.7,4.1,3.1,3.2,1.6,2.4,1.2,-0.1,0.0,-0.4,-0.5,0.1
WSPD,7.627581530209952,6.369458375717672,5.390732788777422,5.280151512977634,4.701063709417264,4.0024992192379,11.111255554616678,8.324061508662703,8.263776376451629,8.363013810822029,8.98943824718764,9.235799911215054,9.082400563727631,9.042676594902641,8.928605714219886,8.782368700982667,8.500588214941365,7.9,8.009993757800315,7.117583859709698,5.600892785976178
