,2019-12-30 12:00:00,2019-12-30 15:00:00,2019-12-30 18:00:00,2019-12-30 21:00:00,2019-12-31 00:00:00,2019-12-31 03:00:00,2019-12-31 06:00:00,2019-12-31 09:00:00,2019-12-31 12:00:00,2019-12-31 15:00:00,2019-12-31 18:00:00,2019-12-31 21:00:00,2020-01-01 00:00:00
DWPC,-0.43,-3.99,-4.82,-3.1,-3.64,-4.23,-5.47,-5.67,-5.86,-5.64,-5.57,-5.37,-5.5
HCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,84.0,51.0,0.0,0.0
LCLD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,59.0
MCLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
PRCP,0.0,0.17,0.09,0.08,0.12,0.02,0.04,0.01,0.0,0.0,0.03,0.0,0.0
PRES,974.5,975.6,976.2,976.1,978.3,977.9,978.5,978.6,979.8,981.1,982.9,982.7,983.9
TMPC,0.74,0.14,0.94,0.64,-0.06,-1.36,-1.76,-2.06,-2.06,-1.96,-0.56,-0.36,-1.46
UWND,7.1,7.9,8.5,8.9,8.9,8.4,8.6,8.4,8.4,8.2,8.0,7.2,5.6
VWND,3.5,4.5,4.2,3.8,2.7,2.2,1.6,1.6,0.9,0.3,-0.4,0.4,0.6
WSPD,7.9158069708653205,9.091754506144564,9.481033698917011,9.677293009927931,9.300537618869138,8.683317338436964,8.747571091451615,8.55102333057278,8.448076704197234,8.205485969764375,8.009993757800315,7.211102550927978,5.632051136131489
